244.174,,
239.897,,
236.498,,
236.627,,
237.226,,
245.071,,
236.596,,
248.201,,
243.933,,
239.728,,
248.438,,
242.712,,
238.09,,
248.207,,
244.299,,
239.934,,
249.223,,
236.748,,
241.044,,
238.803,,
248.426,,
242.105,,
239.176,,
236.699,,
247.994,,
240.477,,
237.041,,
239.579,,
245.909,,
237.238,,
237.22,,
236.545,,
236.622,,
236.663,,
236.637,,
236.889,,
236.589,,
236.525,,
247.85,,
237.629,,
237.114,,
236.59,,
248.259,,
244.282,,
240.961,,
236.592,,
236.605,,
239.95,,
236.596,,
237.01,,
245.035,,
240.341,,
236.542,,
244.368,,
240.899,,
237.329,,
252.401,,
237.152,,
240.472,,
239.533,,
248.476,,
241.55,,
238.185,,
236.626,,
248.376,,
243.755,,
239.976,,
248.391,,
243.116,,
236.566,,
248.282,,
244.329,,
240.849,,
239.983,,
237.902,,
236.8,,
238.095,,
237.097,,
241.258,,
238.919,,
237.357,,
236.605,,
236.531,,
236.535,,
237.657,,
237.027,,
237.139,,
244.85,,
248.249,,
244.964,,
239.796,,
249.217,,
240.585,,
240.562,,
248.361,,
241.594,,
236.564,,
237.09,,
237.133,,
249.548,,
,,
240.83188,,4.429184651
